# Depth density Vp Vs
0.0 1.02000 1.45000 0.00000
1.0 1.02000 1.45000 0.00000
2.0 1.02000 1.45000 0.00000
3.0 1.02000 1.45000 0.00000
3.0 2.60000 5.80000 3.20000
4.0 2.60000 5.80000 3.20000
5.0 2.60000 5.80000 3.20000
6.0 2.60000 5.80000 3.20000
7.0 2.60000 5.80000 3.20000
8.0 2.60000 5.80000 3.20000
9.0 2.60000 5.80000 3.20000
10.0 2.60000 5.80000 3.20000
11.0 2.60000 5.80000 3.20000
12.0 2.60000 5.80000 3.20000
13.0 2.60000 5.80000 3.20000
14.0 2.60000 5.80000 3.20000
15.0 2.60000 5.80000 3.20000
15.0 2.90000 6.80000 3.90000
16.0 2.90000 6.80000 3.90000
17.0 2.90000 6.80000 3.90000
18.0 2.90000 6.80000 3.90000
19.0 2.90000 6.80000 3.90000
20.0 2.90000 6.80000 3.90000
21.0 2.90000 6.80000 3.90000
22.0 2.90000 6.80000 3.90000
23.0 2.90000 6.80000 3.90000
24.4 2.90000 6.80000 3.90000
24.4 3.38075 8.02206 4.39602
25.0 3.38068 8.02138 4.39616
26.0 3.38057 8.02024 4.39639
27.0 3.38047 8.01911 4.39662
28.0 3.38036 8.01798 4.39685
29.0 3.38025 8.01684 4.39708
30.0 3.38014 8.01571 4.39731
31.0 3.38003 8.01458 4.39754
32.0 3.37992 8.01345 4.39777
33.0 3.37981 8.01231 4.39800
34.0 3.37970 8.01118 4.39823
35.0 3.37960 8.01005 4.39846
40.0 3.37905 8.00438 4.39962
45.0 3.37851 7.99872 4.40077
50.0 3.37797 7.99305 4.40192
60.0 3.37688 7.98172 4.40422
70.0 3.37579 7.97039 4.40653
80.0 3.37471 7.95906 4.40883
80.0 3.37471 7.95906 4.40883
90.0 3.37362 7.94773 4.41113
100.0 3.37253 7.93641 4.41344
110.0 3.37145 7.92508 4.41574
120.0 3.37036 7.91375 4.41805
130.0 3.36927 7.90242 4.42035
140.0 3.36818 7.89109 4.42265
150.0 3.36710 7.87976 4.42496
160.0 3.36601 7.86843 4.42726
170.0 3.36492 7.85710 4.42957
180.0 3.36384 7.84577 4.43187
190.0 3.36275 7.83444 4.43417
200.0 3.36166 7.82311 4.43648
210.0 3.36058 7.81178 4.43878
220.0 3.35949 7.80045 4.44109
220.0 3.43577 8.55895 4.64390
230.0 3.44175 8.57819 4.65090
240.0 3.44772 8.59743 4.65790
250.0 3.45369 8.61666 4.66490
260.0 3.45966 8.63590 4.67190
270.0 3.46563 8.65514 4.67890
280.0 3.47160 8.67438 4.68590
290.0 3.47758 8.69362 4.69290
300.0 3.48355 8.71286 4.69990
310.0 3.48952 8.73210 4.70690
320.0 3.49549 8.75133 4.71390
330.0 3.50146 8.77057 4.72090
340.0 3.50743 8.78981 4.72790
350.0 3.51341 8.80905 4.73490
360.0 3.51938 8.82829 4.74190
370.0 3.52535 8.84753 4.74890
380.0 3.53132 8.86677 4.75590
