#Import of Banana
#Unit : *10^3 Ton
#year	Sum	Taiwan	Ecuador	Philippines
1949	0.5	0.5	0.0	0.0
1950	6.6	6.6	0.0	0.0
1951	22.2	21.9	0.0	0.0
1952	41.0	41.0	0.0	0.0
1953	22.0	22.0	0.0	0.0
1954	29.9	29.8	0.0	0.0
1955	24.4	24.4	0.0	0.0
1956	19.2	18.3	0.0	0.0
1957	27.8	24.3	0.0	0.0
1958	37.0	36.0	0.0	0.0
1959	37.5	37.4	0.0	0.0
1960	42.4	41.0	0.0	0.1
1961	74.0	65.0	4.9	0.1
1962	82.6	49.1	32.9	0.0
1963	255.6	51.6	203.4	0.0
1964	351.8	186.9	160.6	0.1
1965	357.6	315.2	34.2	0.0
1966	416.2	336.7	71.4	0.3
1967	481.1	395.0	79.3	0.3
1968	637.8	355.3	246.1	0.3
1969	738.6	379.9	265.5	21.5
1970	843.9	213.7	468.6	54.8
1971	988.5	297.1	424.7	182.6
1972	1062.9	215.2	472.5	334.4
1973	931.1	223.3	259.0	442.2
1974	857.2	140.6	78.2	627.8
1975	894.1	97.4	31.5	763.3
1976	832.2	81.7	33.5	713.9
1977	824.9	119.6	8.9	696.4
1978	804.1	75.2	21.4	707.5
1979	790.1	100.5	7.5	682.1
1980	726.1	82.6	1.4	642.1
1981	707.9	58.0	5.1	644.3
1982	757.9	74.4	2.2	681.4
1983	575.9	96.9	5.7	469.0
1984	682.4	99.1	2.8	580.4
1985	680.0	98.6	21.6	559.7
1986	764.6	82.4	57.0	620.5
1987	773.4	106.6	80.1	570.0
1988	760.4	84.9	70.3	600.4
1989	773.7	61.5	84.7	620.5
1990	757.5	32.7	125.4	585.2
1991	803.3	54.1	135.0	586.9
1992	777.2	65.7	152.2	546.7
1993	913.3	65.1	152.5	668.8
1994	929.4	56.1	146.7	684.6
1995	873.8	41.1	137.2	677.5
1996	818.7	50.6	137.7	616.4
1997	885.1	36.3	186.1	653.0
1998	864.9	56.2	158.1	620.3
1999	983.2	44.7	197.2	727.1
2000	1078.7	42.3	210.8	811.0
2001	990.6	25.2	170.6	781.4
2002	936.3	25.1	157.0	743.5
2003	986.6	33.5	145.6	795.6
2004	1026.0	18.2	122.7	869.6
2005	1066.9	15.1	91.1	944.5
2006	1043.6	15.9	101.3	910.6
2007	970.6	18.9	52.1	879.0
2008	1092.7	9.0	46.2	1019.3
2009	1252.6	8.8	61.7	1159.1
2010	1109.1	9.5	46.1	1035.2
2011	1064.1	8.4	34.3	1004.1
